Number_of_Active_Listing,Rent,ContactInfo,Number_of_Bedrooms,Address
1,4200,zada holdings  (610) 716-6241,8,"S 48th St, Philadelphia, PA, 19143"
1,3600,Independent Custom Realty Property Management  (717) 468-3810,5,"1001 S 46th St # 1F, Philadelphia, PA, 19143"
1,3000,Re/Max Access  (215) 333-0750,7,"5337 Baltimore Ave, Philadelphia, PA, 19143"
1,2650,(215) 386-4200,4,"4511 Kingsessing Ave, Philadelphia, PA, 19143"
1,2700,,5,"5116 Hazel Ave, Philadelphia, PA, 19143"
1,2500,The Philly Apartment Company  (215) 495-0070,4,"5301 Catharine St, Philadelphia, PA, 19143"
1,2800,(484) 904-1111,4,"1243 S 47th St # 1, Philadelphia, PA, 19143"
1,2400,New Age Realty Group  (215) 387-1002,4,"727 S 50th St # A, Philadelphia, PA, 19143"
1,2200,(267) 872-5154,3,"4614-3F Baltimore Ave # 3F, Philadelphia, PA, 19143"
1,2200,(614) 632-1375,3,"544 S 48th St, Philadelphia, PA, 19143"
1,2000,,4,"Osage Ave, Philadelphia, PA, 19143"
1,1975,BHHS FOX & ROACH  (610) 457-9281,4,"643 S 52nd St, Philadelphia, PA, 19143"
1,2000,zada holdings  (610) 716-6241,4,"Cedar Ave, Philadelphia, PA, 19143"
1,3000,,3,"1810 Francis St, Philadelphia, PA, 19130"
1,1920,(267) 679-9958,4,"1359 S Markoe St, Philadelphia, PA, 19143"
1,1900,Core Property Management  (914) 474-4642,3,"4617 Cedar Ave # 3, Philadelphia, PA, 19143"
1,1900,zada holdings  (610) 716-6241,4,"905 S 49th St, Philadelphia, PA, 19143"
1,1900,Powelton Properties  (215) 386-2578,3,"4600 Chester Ave APT 5F, Philadelphia, PA, 19143"
1,1895,"New Age Realty Group, Inc.  (215) 387-1002",3,"4608 Baltimore Ave # 3, Philadelphia, PA, 19143"
1,2050,,3,"S Bouvier St, PHILADELPHIA, PA, 19145"
1,1875,MMAG Properties  (267) 337-7433,3,"5121 Catharine St # HOUSE, Philadelphia, PA, 19143"
1,1800,BHHS Fox & Roach-Center City W  (609) 774-7388,2,"4809 Baltimore Ave APT 1, Philadelphia, PA, 19143"
1,1700,Eric Feinberg Real Estate Group  (610) 792-5900,3,"4922 Cedar Ave # 3, Philadelphia, PA, 19143"
1,1800,Coldwell Banker Preferred  (267) 331-0071,3,"4926 Warrington Ave, Philadelphia, PA, 19143"
1,1700,(215) 680-4210,2,"4730 Warrington Ave FL 1, Philadelphia, PA, 19143"
1,1700,Powelton Properties  (215) 386-2578,2,"4731 Warrington Ave # 1FRONT, Philadelphia, PA, 19143"
1,1700,Powelton Properties  (215) 386-2578,2,"Warrington Ave, Philadelphia, PA, 19143"
1,1600,zada holdings  (610) 716-6241,3,"901 S 47th St # E3, Philadelphia, PA, 19143"
1,1650,TCS Management LLC  (267) 206-8112,4,"1310 S 51st St, PHILADELPHIA, PA, 19143"
1,1600,,4,"622 S 55th St, Philadelphia, PA, 19143"
1,1600,(646) 737-3117,2,"828 S 48th St, Philadelphia, PA, 19143"
1,1600,Spak Group  (267) 332-1600,2,"5020 Pentridge St, Philadelphia, PA, 19143"
1,1575,(267) 679-9958,3,"1353 S Markoe St, Philadelphia, PA, 19143"
1,1550,KW Philly South  (215) 668-4989,1,"1011 S 49th St # 1, Philadelphia, PA, 19143"
1,1500,(267) 679-9958,3,"1352 S Markoe St, Philadelphia, PA, 19143"
1,1750,Century 21 Advantage Gold  (215) 322-7050,4,"5011 Larchwood Ave, Philadelphia, PA, 19143"
1,1550,,1,"4706 Cedar Ave # 2, Philadelphia, PA, 19143"
1,1500,City Wide Realty  (215) 310-6888,2,"4516 Springfield Ave APT 1F, Philadelphia, PA, 19143"
1,1600,(267) 324-6829,2,"644 S 51st St # 1, Philadelphia, PA, 19143"
1,1800,(215) 917-9833,3,"1010 S 46th St # 1F, Philadelphia, PA, 19143"
1,1600,TRGPROPERTIES  (267) 574-0229,4,"5339 Webster St, Philadelphia, PA, 19143"
1,1500,zada holdings  (610) 716-6241,3,"Chester Ave, Philadelphia, PA, 19143"
1,1500,zada holdings  (610) 716-6241,3,"900 S 47th St # E4, Philadelphia, PA, 19143"
1,1500,(215) 778-1699,3,"308 S 50th St, Philadelphia, PA, 19143"
1,1500,zada holdings  (610) 716-6241,3,"S 47th St, Philadelphia, PA, 19143"
1,1500,Bear & Co.  (267) 242-8347,2,"900 S 51st St # 3, Philadelphia, PA, 19143"
1,1500,"Premier Rentals Philadelphia, LLC  (267) 324-3926",3,"6030 Cobbs Creek Pkwy, Philadelphia, PA, 19143"
1,1450,Go Section8  (484) 431-4012,4,"2045 S 57th St, Philadelphia, PA, 19143"
1,1450,Long & Foster-Havertown  (610) 853-2700,3,"709 S 59th St, Philadelphia, PA, 19143"
1,1450,Keller Williams Philly  (215) 681-5039,2,"608 S 48th St, Philadelphia, PA, 19143"
1,1500,(215) 386-4200,3,"4928 Warrington Ave, Philadelphia, PA, 19143"
1,1500,Spak Group  (267) 332-1600,2,"629 S 49th St APT 3F, Philadelphia, PA, 19143"
1,1450,"New Age Realty Group, Inc.  (215) 387-1002",2,"5029 Cedar Ave # 3, Philadelphia, PA, 19143"
1,1400,"Ikos Holdings, Inc.  (267) 279-9777",2,"511 S 46th St, Philadelphia, PA, 19143"
1,1400,Jackson Rental Homes  (267) 252-4146,3,"6036 Walton Ave, Philadelphia, PA, 19143"
1,1400,Go Section8  (610) 420-1958,3,"5613 Hazel Ave, Philadelphia, PA, 19143"
1,1400,Full Court Property Management  (267) 270-5530,3,"5411 Trinity St, Philadelphia, PA, 19143"
1,1400,Go Section8  (610) 420-1958,3,"5613 Hazel Ave # 1, Philadelphia, PA, 19143"
1,1400,The Philly Apartment Company  (215) 495-0070,2,"4939 Hazel Ave, Philadelphia, PA, 19143"
1,1400,Full Court Property Management  (267) 270-5530,3,"5431 Willows Ave, PHILADELPHIA, PA, 19143"
1,1400,(215) 776-5228,4,"5907 Cedar Ave, Philadelphia, PA, 19143"
1,1400,(610) 203-9553,2,"5006 Hazel Ave APT 1, Philadelphia, PA, 19143"
1,1400,Greenzang Properties  (215) 563-5880,3,"4807 Pine St APT C1, Philadelphia, PA, 19143"
1,1370,Greenzang Properties  (215) 563-5880,3,"4839 Pine St APT C1, Philadelphia, PA, 19143"
1,1350,Full Court Property Management  (267) 270-5530,3,"5820 Belmar Ter, Philadelphia, PA, 19143"
1,1350,EveryHome Realty  (267) 280-7546,2,"4717 Hazel Ave # 2, Philadelphia, PA, 19143"
1,1350,Full Court Property Management  (267) 270-5530,3,"1022 S 55th St, Philadelphia, PA, 19143"
1,1350,,2,"Larchwood Ave, Philadelphia, PA, 19143"
1,750,(215) 519-1639,0,"501 N 35th St, Philadelphia, PA, 19104"
1,1350,Go Section8  (267) 639-2976,3,"5619 Malcolm St, Philadelphia, PA, 19143"
1,1300,The Philly Apartment Company  (215) 495-0070,2,"5021 Pine St # 3F, Philadelphia, PA, 19143"
1,1350,Long and Foster Folsom  (610) 586-1300,2,"800 S Saint Bernard St # 3, Philadelphia, PA, 19143"
1,1300,Vertex Real Estate Management LLC  (215) 232-8883,3,"6030 Market St 3rd Fl 6030 Market FL 3RD, Phila, PA, 19143"
1,1300,Spak Group  (267) 332-1600,2,"434 S 52nd St, Philadelphia, PA, 19143"
1,1300,(215) 464-9966,3,"5346 Osage Ave, Philadelphia, PA, 19143"
1,1300,Keller Williams   (267) 277-3101,4,"6156 Webster St, PHILADELPHIA, PA, 19143"
1,1300,(215) 901-6389,2,"5328 Pine St # 2, Philadelphia, PA, 19143"
1,1300,(267) 872-5154,2,"4612 Baltimore Ave, Philadelphia, PA, 19143"
1,1300,(267) 571-9308,3,"5131 Delancey St, Philadelphia, PA, 19143"
1,1260,(323) 388-7195,2,"829 S 49th St # 3, Philadelphia, PA, 19143"
1,1250,"New Age Realty Group, Inc.  (215) 387-1002",3,"5712 Osage Ave, Philadelphia, PA, 19143"
1,1250,(215) 398-2649,4,"5605 Whitby Ave, Philadelphia, PA, 19143"
1,1275,(484) 686-0880,1,"815 S 49th St # 2F, Philadelphia, PA, 19143"
1,1300,,1,"4817 Walton Avenue # First Floor, Philadelphia, PA, 19143"
1,1250,Niahda Real Estate  (215) 474-6493,3,"5421 Angora Ter, Philadelphia, PA, 19143"
1,1250,Go Section8  (610) 574-3630,3,"6035 Hazel Ave, Philadelphia, PA, 19143"
1,1250,(267) 975-4512,3,"5425 Pentridge St, Philadelphia, PA, 19143"
1,1250,(267) 416-0554,4,"5411 Larchwood Ave, Philadelphia, PA, 19143"
1,1200,(215) 290-2628,3,"5644 Hadfield St, Philadelphia, PA, 19143"
1,1250,(267) 975-4512,3,"5551 Walton Ave, Philadelphia, PA, 19143"
1,1200,Re/Max Elite  (215) 669-7658,3,"1233 S Greylock St, Philadelphia, PA, 19143"
1,1200,(267) 975-4512,3,"5642 Hadfield St, Philadelphia, PA, 19143"
1,1395,Springer Realty Group  (215) 715-9455,1,"5025 Warrington Ave, Philadelphia, PA, 19143"
1,1200,(215) 300-2850,3,"5515 Whitby Ave, Philadelphia, PA, 19143"
1,1500,Coldwell Banker Preferred - Center City  (267) 231-5484,3,"1221 S 49th St, Philadelphia, PA, 19143"
1,1200,ELIAKIM REALTY INC  (215) 200-1089,3,"5707 Belmar Ter, Philadelphia, PA, 19143"
1,1200,(267) 975-4512,3,"5707 Delancey St, Philadelphia, PA, 19143"
1,1200,GPR Management  (609) 254-2006,3,"6158 Larchwood Ave, Philadelphia, PA, 19143"
1,1200,Moore and Ryan Real Estate  (215) 687-2629,3,"1229 S 56th St, Philadelphia, PA, 19143"
1,1200,Vertex Real Estate Management LLC  (215) 232-8883,3,"5633 Walton Ave, Philadelphia, PA, 19143"
1,1200,MMAG Properties  (267) 337-7433,3,"1341 S 52nd St # 2, Philadelphia, PA, 19143"
1,1195,"New Age Realty Group, Inc.  (215) 387-1002",2,"5025 Cedar Ave APT 3, Philadelphia, PA, 19143"
1,1175,EG Management  (215) 995-2191,3,"5437 Trinity St, Philadelphia, PA, 19143"
1,1190,Liberty Real Estate Associates  (267) 888-1793,2,"549 S 53rd St FL 1ST, Philadelphia, PA, 19143"
1,1350,Full Court Property Management  (267) 270-5530,3,"5518 Malcolm St, Philadelphia, PA, 19143"
1,1175,KnickerbockerProperties  (215) 631-8373,1,"4514 Pine St # 7XEWTZJFR, Philadelphia, PA, 19143"
1,1350,Property Management Group DBA PMG Realty  (215) 545-7007,1,"1002 S Farragut St # 3, Phila, PA, 19143"
1,1450,Independent Custom Realty Property Management  (717) 468-3810,1,"4712 Springfield Ave # 2, Philadelphia, PA, 19143"
1,1150,Liberty Bell Management  (267) 332-4448,2,"5332 Angora Ter # 2F, Philadelphia, PA, 19143"
1,1150,TCS Management LLC  (215) 383-1439,3,"534 S Redfield St, Philadelphia, PA, 19143"
1,1150,(215) 669-9417,2,"49XX Pine St, Philadelphia, PA, 19143"
1,1100,Go Section8  (484) 614-6043,3,"428 S 61st St, Philadelphia, PA, 19143"
1,1125,"New Age Realty Group, Inc.  (215) 387-1002",3,"1325 S May St, Philadelphia, PA, 19143"
1,1100,(215) 527-2107,1,"4927 Hazel Ave APT 1F, Philadelphia, PA, 19143"
1,1100,"Premier Rentals Philadelphia, LLC  (267) 324-3926",3,"533 S Salford St, Philadelphia, PA, 19143"
1,1200,BMG Philadelphia  (267) 244-7215,4,"805 S 60th St, Philadelphia, PA, 19143"
1,1100,(267) 689-8262,1,"4902 Pine St # 9A, Philadelphia, PA, 19143"
1,1100,Go Section8  (267) 249-2506,3,"1711 S 58th St, Philadelphia, PA, 19143"
1,1100,Ampere Property Management LLC  (215) 800-1213,3,"5243 Reinhard St, Philadelphia, PA, 19143"
1,1100,TCS Management LLC  (267) 206-8112,3,"5952 Walton Ave, Philadelphia, PA, 19143"
1,1100,Stonehurst Partners LP  (888) 609-1171,1,"4615 Cedar Ave # 1, Philadelphia, PA, 19143"
1,1100,(215) 464-9966,3,"1115 S Ruby St, Philadelphia, PA, 19143"
1,1100,Go Section8  (215) 432-3198,3,"5515 Walton Ave, Philadelphia, PA, 19143"
1,1100,Philly Rentals   (215) 805-6397,3,"5600 Hadfield St # 5642, Philadelphia, PA, 19143"
1,1095,Springer Realty Group  (215) 715-9455,2,"1242 S 51st St APT 1, Philadelphia, PA, 19143"
1,1100,Paramount Properties LLC  (484) 451-8619,3,"1138 S Ruby St, Philadelphia, PA, 19143"
1,1075,LYL Realty Group  (215) 498-3546,2,"5036 Catharine St APT 1, Philadelphia, PA, 19143"
1,1050,(267) 975-4512,2,"715 S 60th St # 2BR, Philadelphia, PA, 19143"
1,1050,(215) 464-9966,3,"1634 S Yewdall St, Philadelphia, PA, 19143"
1,1050,Rittenhouse REO Specialist  (215) 568-7177,3,"727 S Ithan St, Philadelphia, PA, 19143"
1,1000,(267) 216-6448,4,"S 57th St, Philadelphia, PA, 19143"
1,1000,Giller Realty LLC  (844) 800-1330,4,"1018 S 52nd St # 2 B, Philadelphia, PA, 19143"
1,1000,Coldwell Banker Preferred - Center City  (267) 231-0355,2,"6237 Carpenter St, Philadelphia, PA, 19143"
1,1000,Spak Group  (267) 332-1600,1,"501 S 52nd St, Philadelphia, PA, 19143"
1,1000,(215) 906-4524,2,"4812 Regent St APT 3, Philadelphia, PA, 19143"
1,1000,(267) 307-5385,3,"5651 Springfield Ave, Philadelphia, PA, 19143"
1,1000,GW Property Management Inc.  (215) 424-8969,3,"1311-13 S 52nd St # 3, Philadelphia, PA, 19143"
1,1000,(267) 975-4512,3,"5211 Litchfield St, Philadelphia, PA, 19143"
1,1000,Giller Realty LLC  (844) 800-1330,2,"1218 S Hanson St, Philadelphia, PA, 19143"
1,1000,Realty Mark Cityscape  (267) 808-1970,1,"4510 Springfield Ave # 4, Philadelphia, PA, 19143"
1,1000,Philly Rentals   (215) 805-6397,3,"5400 Delancey St # 5409DELANC, Philadelphia, PA, 19143"
1,1000,OCF Realty  (215) 735-7368,1,"5346 Delancey St # 2, Philadelphia, PA, 19143"
1,950,Go Section8  (267) 270-5530,3,"5330 Glenmore Ave, Philadelphia, PA, 19143"
1,950,,3,"S Allison St, Philadelphia, PA, 19143"
1,995,,0,"500 S 47th St # T1NNBC2TK, Philadelphia, PA, 19143"
1,950,,3,"2016 S 57th St, Philadelphia, PA, 19143"
1,950,Perfect Place Real Estate  (267) 984-1121,3,"5339 Addison St, Philadelphia, PA, 19143"
1,950,(323) 388-7195,0,"S 47th St, Philadelphia, PA, 19143"
1,950,Go Section8  (267) 270-5530,3,"5332 Glenmore Ave, Philadelphia, PA, 19143"
1,925,Giller Realty LLC  (844) 800-1330,4,"1016 S 52nd St # 2 B, Philadelphia, PA, 19143"
1,910,Urban & Bye  (215) 222-4800,1,"4500 Springfield Ave # 2F, Philadelphia, PA, 19143"
1,925,(267) 721-9710,2,"5323 Catharine St # 2F, Philadelphia, PA, 19143"
1,925,"New Age Realty Group, Inc.  (215) 387-1002",0,"4604 Baltimore Ave # 2F, Philadelphia, PA, 19143"
1,900,"MainLine Investors Group, LLC  (215) 385-1349",2,"4912 Warrington Ave # 2, Philadelphia, PA, 19143"
1,900,Guy Advisors Group  (484) 272-9101,2,"1918 S Salford St, Philadelphia, PA, 19143"
1,900,,1,"4830 Baltimore Ave APT 1, Philadelphia, PA, 19143"
1,900,Powelton Properties  (215) 386-2578,0,"906 S 47th St # 2FRONT, Philadelphia, PA, 19143"
1,899,Watchtower Property Co  (215) 515-0942,1,"800 S 49th St # JUNIOR, Philadelphia, PA, 19143"
1,890,(443) 824-4481,0,"Hazel Ave, Philadelphia, PA, 19143"
1,850,Peters Gordon Realty  (215) 454-6452,1,"5504 Cedar Ave # 1ST, Philadelphia, PA, 19143"
1,850,ANCHOR Realty NE  (215) 870-5595,3,"1710 S Frazier St, Philadelphia, PA, 19143"
1,800,Skylandup  (267) 385-8494,1,"1943 S Alden St # 1, Philadelphia, PA, 19143"
1,795,Urban & Bye  (215) 222-4800,0,"4700 Cedar Ave APT 1R, Philadelphia, PA, 19143"
1,785,Greenzang Properties  (215) 563-5880,0,"4748 Pine St APT 403, Philadelphia, PA, 19143"
1,750,Weichert Realtors  (484) 450-6322,1,"5004 Cedar Ave # 3RD, Philadelphia, PA, 19143"
1,800,,2,"5515 Larchwood Ave # 2, Philadelphia, PA, 19143"
1,775,Greenzang Properties  (215) 563-5880,0,"4839 Pine St APT A3, Philadelphia, PA, 19143"
1,1600,Renzi Properties  (215) 888-0414,3,"2211 S Garnet St, Philadelphia, PA, 19145"
1,725,,1,"4807 Chester Ave APT 103, Philadelphia, PA, 19143"
1,750,(215) 380-5869,1,"5864 Walton Ave # 1, Philadelphia, PA, 19143"
1,1600,(908) 410-5085,2,"1940 S 16th St # 1, Philadelphia, PA, 19145"
1,1550,Paramount Properties LLC  (267) 346-5342,3,"2217 S Croskey St, Philadelphia, PA, 19145"
1,1550,Coldwell Banker Preferred - Center City  (267) 231-5484,3,"2404 S 24th St, Philadelphia, PA, 19145"
1,1550,OCF Realty  (215) 353-7762,3,"1631 S Carlisle St, Philadelphia, PA, 19145"
1,1500,Century 21 Target Realty  (267) 210-8523,3,"1827 S 24th St, Philadelphia, PA, 19145"
1,1500,Point Property Management  (267) 702-0875,4,"1605 S 28th St, Philadelphia, PA, 19145"
1,1500,Berkshire Hathaway fox and Roach   (215) 913-4548,3,"1928 S Lambert St, Philadelphia, PA, 19145"
1,1500,The Philly Apartment Company  (215) 495-0070,3,"2315 Pierce Street, Philadelphia, PA, 19145"
1,1500,Berkshire Hathaway   (610) 353-6200,2,"2335 Mountain St, Philadelphia, PA, 19145"
1,1495,JG Real Estate  (215) 467-4100,3,"2207 S Hicks St, Philadelphia, PA, 19145"
1,1450,Mercury Real Estate Group  (215) 500-8000,3,"2537 S Rosewood St, Philadelphia, PA, 19145"
1,1449,"Ikos Holdings, Inc.  (267) 279-9777",2,"2314 S Colorado St, Philadelphia, PA, 19145"
1,1400,OCF Realty  (610) 715-9198,3,"1931 Mountain St, Philadelphia, PA, 19145"
1,1400,Elfant Wissahickon Realtors  (937) 475-1888,2,"1440 W Porter St # 2, Philadelphia, PA, 19145"
1,1400,(267) 223-7945,3,"2342 S 24th St, Philadelphia, PA, 19145"
1,1400,,2,"S Hicks St, Philadelphia, PA, 19145"
1,1400,PA Realty Works  (609) 381-1570,3,"1926 Dudley St, Philadelphia, PA, 19145"
1,1350,(215) 317-2068,2,"1439 Tasker St # 1FL, Philadelphia, PA, 19145"
1,1400,Century 21  (215) 888-8558,2,"2102 S Broad St, Philadelphia, PA, 19145"
1,1375,OCF Realty  (215) 735-7368,3,"1923 S Hemberger St, Philadelphia, PA, 19145"
1,1350,Allegiance Real Estate LLC  (215) 235-5015,3,"2640 S Hicks St, Philadelphia, PA, 19145"
1,1300,(215) 900-3110,1,"1801 Daly St, Philadelphia, PA, 19145"
1,1350,Mercury Real Estate Group  (215) 500-8000,3,"2744 Pierce St, Philadelphia, PA, 19145"
1,1300,Keller Williams Center City Realty  (215) 327-4237,2,"1601 S 17th St # 2, Philadelphia, PA, 19145"
1,1300,The Philly Apartment Company  (215) 495-0070,2,"2428 S Broad St # 2, Philadelphia, PA, 19145"
1,1300,Point Property Management  (267) 702-0875,3,"2017 S Norwood St, Philadelphia, PA, 19145"
1,1300,Go Section8  (215) 648-2190,3,"1916 S Norwood St, Philadelphia, PA, 19145"
1,1299,Allegiance Real Estate LLC  (215) 235-5015,3,"2218 S Bonsall St, Philadelphia, PA, 19145"
1,1250,(215) 539-7866,3,"1515 Tasker St # 2R, Philadelphia, PA, 19145"
1,1295,TCS Management LLC  (215) 383-1439,3,"1604 S 24th St, Philadelphia, PA, 19145"
1,1300,(917) 622-8968,0,"1425 W Passyunk Ave, Philadelphia, PA, 19145"
1,1250,Century 21 Advantage Gold  (215) 322-7050,2,"1910 Sigel St, Philadelphia, PA, 19145"
1,1250,BHHS Fox Roach 1818 Rittenhouse   (267) 455-7003,2,"1512 W Shunk St FL 2ND, Philadelphia, PA, 19145"
1,1250,Triamond  (267) 243-1892,3,"2530 S 15th St, Philadelphia, PA, 19145"
1,1250,,2,"1799 Pierce St, Philadelphia, PA, 19145"
1,1250,JBMP Group  (267) 797-2175,3,"1918 Sigel St, Philadelphia, PA, 19145"
1,2500,(609) 351-9050,3,"1714 S 11th St, Philadelphia, PA, 19148"
1,2250,(215) 237-8408,3,"2015 S Hutchinson St UNIT 2, Philadelphia, PA, 19148"
1,2100,Keller Williams Philly  (267) 968-8600,3,"631 Dudley St, Philadelphia, PA, 19148"
1,2095,DJCRE  (215) 271-7070,3,"2508 S 12th St, Philadelphia, PA, 19148"
1,1995,(215) 397-6778,3,"1946 S 10th St, Philadelphia, PA, 19148"
1,2480,(646) 287-1707,4,"1638 S 8th St, Philadelphia, PA, 19148"
1,1950,(215) 266-4581,3,"1945 S 11th St, Philadelphia, PA, 19148"
1,1900,(267) 716-9035,3,"1123 Mckean St, Philadelphia, PA, 19148"
1,1900,(267) 838-1778,3,"2341 S Warnock St, Philadelphia, PA, 19148"
1,1900,Coldwell Banker Preferred - Old City Office  (215) 923-7600,3,"2106 S 12th St, Philadelphia, PA, 19148"
1,1800,(814) 331-6519,2,"2015-35 S Hutchinson St # 5, Philadelphia, PA, 19148"
1,1800,RE/MAX Connection  (609) 221-1199,2,"1225 Mercy St, Philadelphia, PA, 19148"
1,1800,A. Criniti Realty  (267) 259-3357,2,"2830 S Hutchinson St, Philadelphia, PA, 19148"
1,1700,Keller Williams Philadelphia Center City  (215) 627-3500,3,"1717 S 6th St, Philadelphia, PA, 19148"
1,1250,Triamond  (267) 243-1892,3,"1700 Mifflin St # 3FLOOR, Philadelphia, PA, 19145"
1,1800,Century 21 Forrester RE  (267) 688-1449,3,"2554 S Jessup St, Philadelphia, PA, 19148"
1,1675,JG Real Estate  (215) 467-4100,3,"2114 S 7th St # B, Philadelphia, PA, 19148"
1,1650,RE/MAX Preferred-Marlton  (856) 246-7408,3,"1111 Mercy St, Philadelphia, PA, 19148"
1,1700,,3,"2436 S Hutchinson St, Philadelphia, PA, 19148"
1,1650,,2,"521 Watkins St, Philadelphia, PA, 19148"
1,1650,Coldwell Banker Preferred  (484) 319-1993,2,"236 Mcclellan St, Philadelphia, PA, 19148"
1,1650,The Philly Apartment Company  (215) 495-0070,2,"1114 Mifflin St # 3, Philadelphia, PA, 19148"
1,1645,Del Val Realty & Property Management  (215) 398-4133,3,"149 Gladstone St, Philadelphia, PA, 19148"
1,1600,(917) 639-8652,4,"816 Snyder Ave, Philadelphia, PA, 19148"
1,1600,CenterCityTeam at Berkshire Hathaway Fox & Roach  (610) 636-4364,3,"2019 S 6th St # 2, Philadelphia, PA, 19148"
1,1600,,3,"2606 S 2nd St, Philadelphia, PA, 19148"
1,1600,Century 21 Forrester RE  (267) 688-1449,3,"1007 Fernon St, Philadelphia, PA, 19148"
1,1595,"BHHS, Fox & Roach Realtors  (215) 440-2096",3,"1609 S 13th St, Philadelphia, PA, 19148"
1,1575,(215) 992-4842,2,"1904 S 10th St # 1, Philadelphia, PA, 19148"
1,1225,Compass / The Barach Group  (215) 609-6529,1,"2138 S 15th St # 2, Philadelphia, PA, 19145"
1,1200,TCS Management LLC  (215) 847-9101,3,"1818 S 23rd St, Philadelphia, PA, 19145"
1,1200,TCS Management LLC  (215) 275-2394,3,"1908 S Bonsall St, Philadelphia, PA, 19145"
1,1200,"New Age Realty Group, Inc.  (215) 387-1002",3,"1607 S Ringgold St, Philadelphia, PA, 19145"
1,1200,,2,"2851 S 16th St # 2, Philadelphia, PA, 19145"
1,1200,(908) 410-5085,1,"2000 S Opal St, Philadelphia, PA, 19145"
