Address,Number_of_Bedrooms,ZipCode,PhoneNumber,Rent,Number_of_Active_Listing,ContactInfo,Email,Info_of_Days_Vacant
"1511 N 16th St # 1, Philadelphia, PA, 19121",4,19121,(267) 797-2175,2700,1,JBMP Group  (267) 797-2175,todor.dev000@gmail.com,25 days ago
"1717 N 17th St # 1, Philadelphia, PA, 19121",4,19121,(215) 680-4210,2700,1,(215) 680-4210,todor.dev000@gmail.com,75 days ago
"1933 N 18th St # 2, Philadelphia, PA, 19121",4,19121,(267) 797-2175,2700,1,JBMP Group  (267) 797-2175,todor.dev000@gmail.com,25 days ago
"2037 N 15th St # 1, Philadelphia, PA, 19121",4,19121,(215) 680-4210,2700,1,(215) 680-4210,todor.dev000@gmail.com,149 days ago
"1932 N 17th St # 1, Philadelphia, PA, 19121",4,19121,(215) 680-4210,2700,1,City Wide Realty  (215) 680-4210,todor.dev000@gmail.com,103 days ago
"1811 W Berks St APT A, Philadelphia, PA, 19121",5,19121,(267) 797-2175,2650,1,JBMP Group  (267) 797-2175,todor.dev000@gmail.com,25 days ago
"1907 N 18th St # 1, Philadelphia, PA, 19121",4,19121,(267) 797-2175,2700,1,JBMP Group  (267) 797-2175,todor.dev000@gmail.com,25 days ago
"1424 N Willington St # 1424, Philadelphia, PA, 19121",4,19121,(215) 765-1429,2640,1,MK Management Group  (215) 765-1429,todor.dev000@gmail.com,15 days ago
"2024 N 15th St APT 1, Philadelphia, PA, 19121",4,19121,(215) 765-1429,2600,1,MK Management Group  (215) 765-1429,todor.dev000@gmail.com,84 days ago
"1739 N Willington St APT C, Philadelphia, PA, 19121",5,19121,(512) 222-8989,2675,1,(512) 222-8989,todor.dev000@gmail.com,39 days ago
"2122 N 17th St # 1, Philadelphia, PA, 19121",4,19121,(267) 797-2175,2600,1,JBMP Group  (267) 797-2175,todor.dev000@gmail.com,25 days ago
"1610 N Sydenham St # A, Philadelphia, PA, 19121",4,19121,(267) 481-6668,2600,1,(267) 481-6668,todor.dev000@gmail.com,18 days ago
"2107 N 17th St # 1, Philadelphia, PA, 19121",4,19121,(215) 765-1429,2640,1,MK Management Group  (215) 765-1429,todor.dev000@gmail.com,13 days ago
"1747 N 16th St, Philadelphia, PA, 19121",4,19121,(267) 481-6668,2600,1,Golden City Realty  (267) 481-6668,todor.dev000@gmail.com,144 days ago
"1821 N 18th St UNIT 1, Philadelphia, PA, 19121",4,19121,(267) 797-2175,2600,1,JBMP Group  (267) 797-2175,todor.dev000@gmail.com,40 days ago
"1733 Cecil B Moore Ave # 2, Philadelphia, PA, 19121",4,19121,(267) 797-2175,2600,1,JBMP Group  (267) 797-2175,todor.dev000@gmail.com,25 days ago
"1715 N Willington St # B, Philadelphia, PA, 19121",4,19121,(267) 481-6668,2600,1,(267) 481-6668,todor.dev000@gmail.com,18 days ago
"1713 N Willington St # 2, Philadelphia, PA, 19121",4,19121,(267) 481-6668,2600,1,Silver City Realty LLC  (267) 481-6668,todor.dev000@gmail.com,41 days ago
"1520 N Sydenham St # 4, Philadelphia, PA, 19121",4,19121,(215) 987-0341,2600,1,(215) 987-0341,todor.dev000@gmail.com,97 days ago
"1817 N Gratz St, Philadelphia, PA, 19121",5,19121,,2600,1,,todor.dev000@gmail.com,27 days ago
"1631 N Willington St # 3F, Philadelphia, PA, 19121",4,19121,(267) 481-6668,2600,1,Silver City Realty LLC  (267) 481-6668,todor.dev000@gmail.com,158 days ago
"1731 Cecil B Moore Ave # 2, Philadelphia, PA, 19121",4,19121,(267) 797-2175,2600,1,JBMP Group  (267) 797-2175,todor.dev000@gmail.com,25 days ago
"2008 N 17th St # 1, Philadelphia, PA, 19121",4,19121,(267) 481-6668,2600,1,(267) 481-6668,todor.dev000@gmail.com,20 days ago
"2004 N 17th St # A, Philadelphia, PA, 19121",4,19121,(267) 481-6668,2600,1,(267) 481-6668,todor.dev000@gmail.com,60 days ago
"1406 N Willington St APT 1, Philadelphia, PA, 19121",4,19121,(215) 765-1429,2540,1,MK Management Group  (215) 765-1429,todor.dev000@gmail.com,28 days ago
"1933 N 18th St # 1, Philadelphia, PA, 19121",4,19121,(215) 765-1429,2500,1,MK Management Group  (215) 765-1429,todor.dev000@gmail.com,5 days ago
"1515 Fontain St # 1, Philadelphia, PA, 19121",4,19121,(215) 917-1668,2500,1,(215) 917-1668,todor.dev000@gmail.com,37 days ago
"1619 N Bouvier St # 1, Philadelphia, PA, 19121",5,19121,(215) 765-1429,2500,1,MK Management Group  (215) 765-1429,todor.dev000@gmail.com,14 days ago
"1934 N Gratz St # 1, Philadelphia, PA, 19121",4,19121,(267) 797-2175,2500,1,JBMP Group  (267) 797-2175,todor.dev000@gmail.com,25 days ago
"2029 N 18th St # 2, Philadelphia, PA, 19121",4,19121,(215) 680-4210,2500,1,City Wide Realty  (215) 680-4210,todor.dev000@gmail.com,43 days ago
"1633 Cecil B Moore Ave, Philadelphia, PA, 19121",5,19121,(215) 852-1482,2500,1,BilGar Properties  (215) 852-1482,todor.dev000@gmail.com,717 days ago
"1835 N Bouvier St # 1, Philadelphia, PA, 19121",4,19121,(267) 797-2175,2500,1,JBMP Group  (267) 797-2175,todor.dev000@gmail.com,25 days ago
"2108 N 17th St # 1, Philadelphia, PA, 19121",5,19121,(267) 797-2175,2500,1,JBMP Group  (267) 797-2175,todor.dev000@gmail.com,7 days ago
"2129 N 17th St # 2, Philadelphia, PA, 19121",4,19121,(215) 765-1429,2500,1,MK Management Group  (215) 765-1429,todor.dev000@gmail.com,13 days ago
"3124 Clifford St, Philadelphia, PA, 19121",4,19121,(215) 235-5015,2400,1,Allegiance Real Estate LLC  (215) 235-5015,todor.dev000@gmail.com,56 days ago
"1724 W Master St # 3, Philadelphia, PA, 19121",4,19121,(267) 797-2175,2400,1,JBMP Group  (267) 797-2175,todor.dev000@gmail.com,25 days ago
"1521 Fontain St, Philadelphia, PA, 19121",4,19121,(267) 432-3339,2400,1,City Wide Realty Inc  (267) 432-3339,todor.dev000@gmail.com,105 days ago
"2935 Cecil B Moore Ave, Philadelphia, PA, 19121",4,19121,(267) 270-5530,2400,1,Full Court Property Management  (267) 270-5530,todor.dev000@gmail.com,12 days ago
"1745 N Willington St APT 2F, Philadelphia, PA, 19121",4,19121,(215) 765-1429,2600,1,MK Management Group  (215) 765-1429,todor.dev000@gmail.com,51 days ago
"1612 W Diamond St, Philadelphia, PA, 19121",4,19121,(215) 422-3711,2300,1,REMAX Plus  (215) 422-3711,todor.dev000@gmail.com,21 days ago
"1725 W Berks St APT 1, Philadelphia, PA, 19121",4,19121,(267) 797-2175,2300,1,JBMP Group  (267) 797-2175,todor.dev000@gmail.com,25 days ago
"1615 W Montgomery Ave # 2, Philadelphia, PA, 19121",3,19121,(215) 667-5853,2250,1,Konkrete Investments LLC  (215) 667-5853,todor.dev000@gmail.com,1 day ago
"1203 N 25th St # B, Philadelphia, PA, 19121",2,19121,(732) 850-2431,2250,1,(732) 850-2431,todor.dev000@gmail.com,21 days ago
"1815 W Berks St # 2, Philadelphia, PA, 19121",4,19121,(267) 797-2175,2300,1,JBMP Group  (267) 797-2175,todor.dev000@gmail.com,25 days ago
"2704 Cecil B Moore Ave, Philadelphia, PA, 19121",4,19121,(267) 886-0719,2250,1,SPACE & COMPANY  (267) 886-0719,todor.dev000@gmail.com,10 days ago
"1508 W Montgomery Ave # A, Philadelphia, PA, 19121",3,19121,(215) 386-2578,2250,1,Powelton Properties  (215) 386-2578,todor.dev000@gmail.com,97 days ago
"1705 Page Street # 1 St Fl, Philadelphia, PA, 19121",4,19121,(215) 287-5678,2200,1,Realty Mark Associates  (215) 287-5678,todor.dev000@gmail.com,24 days ago
"2023 N Gratz St # 1, Philadelphia, PA, 19121",4,19121,(570) 954-5789,2200,1,(570) 954-5789,todor.dev000@gmail.com,56 days ago
"1826 W Norris St # 1, Philadelphia, PA, 19121",4,19121,(267) 797-2175,2200,1,JBMP Group  (267) 797-2175,todor.dev000@gmail.com,25 days ago
"1949 N Gratz St # 1, Philadelphia, PA, 19121",4,19121,(267) 797-2175,2200,1,JBMP Group  (267) 797-2175,todor.dev000@gmail.com,25 days ago
"2027 N Gratz St, Philadelphia, PA, 19121",4,19121,(610) 316-9144,2200,1,Temple Roosts  (610) 316-9144,todor.dev000@gmail.com,116 days ago
"1617 N Sydenham St APT 1, Philadelphia, PA, 19121",4,19121,(215) 232-4710,2650,1,North Broad Living Management  (215) 232-4710,todor.dev000@gmail.com,57 days ago
"1409 W Thompson St # 1, Philadelphia, PA, 19121",4,19121,(267) 797-2175,2300,1,JBMP Group  (267) 797-2175,todor.dev000@gmail.com,25 days ago
"1615 N Sydenham St FL 1, Philadelphia, PA, 19121",4,19121,(215) 232-4710,2650,1,North Broad Living Management  (215) 232-4710,todor.dev000@gmail.com,68 days ago
"1615 W Diamond St # 1, Philadelphia, PA, 19121",4,19121,(610) 504-0404,2200,1,The Condo Shop  (610) 504-0404,todor.dev000@gmail.com,76 days ago
"1638 French St, Philadelphia, PA, 19121",4,19121,(215) 825-2509,2200,1,"N Property Group, Inc  (215) 825-2509",todor.dev000@gmail.com,146 days ago
"1520 Ingersoll St # 3, Philadelphia, PA, 19121",4,19121,(609) 315-4894,2200,1,Coldwell Banker Preferred  (609) 315-4894,todor.dev000@gmail.com,58 days ago
"1816 N Bouvier St # 2, Philadelphia, PA, 19121",4,19121,(610) 504-0404,2200,1,The Condo Shop  (610) 504-0404,todor.dev000@gmail.com,130 days ago
"1514 W Diamond St # 3, Philadelphia, PA, 19121",4,19121,(215) 779-8196,2200,1,(215) 779-8196,todor.dev000@gmail.com,46 days ago
"2016 N 18th St # 2, Philadelphia, PA, 19121",4,19121,(267) 797-2175,2200,1,JBMP Group  (267) 797-2175,todor.dev000@gmail.com,150 days ago
"1745 N Gratz St, Philadelphia, PA, 19121",4,19121,(610) 649-4181,2200,1,The Salas Team at RE/MAX One Realty  (610) 649-4181,todor.dev000@gmail.com,12 days ago
"1929 N Gratz St # 1, Philadelphia, PA, 19121",4,19121,(267) 797-2175,2200,1,JBMP Group  (267) 797-2175,todor.dev000@gmail.com,121 days ago
"1956 N 18th St, Philadelphia, PA, 19121",4,19121,(805) 807-3977,2200,1,(805) 807-3977,todor.dev000@gmail.com,94 days ago
"1840 N 17th St # A, Philadelphia, PA, 19121",3,19121,(215) 680-4210,2175,1,(215) 680-4210,todor.dev000@gmail.com,75 days ago
"1740 N Gratz St # 1, Philadelphia, PA, 19121",4,19121,,2150,1,,todor.dev000@gmail.com,109 days ago
"N 17th St, Philadelphia, PA, 19121",3,19121,(215) 386-2578,2100,1,Powelton Properties  (215) 386-2578,todor.dev000@gmail.com,68 days ago
"2012 N Carlisle St, Philadelphia, PA, 19121",4,19121,(267) 797-2175,2400,1,JBMP Group  (267) 797-2175,todor.dev000@gmail.com,113 days ago
"2941 Cecil B Moore Ave, Philadelphia, PA, 19121",4,19121,(267) 270-5530,2400,1,Full Court Property Management  (267) 270-5530,todor.dev000@gmail.com,12 days ago
"1407 W Thompson St # 1, Philadelphia, PA, 19121",4,19121,(267) 797-2175,2300,1,JBMP Group  (267) 797-2175,todor.dev000@gmail.com,25 days ago
"2017 N Gratz St, Philadelphia, PA, 19121",4,19121,(267) 797-2175,2200,1,JBMP Group  (267) 797-2175,todor.dev000@gmail.com,107 days ago
"2035 N College Ave, Philadelphia, PA, 19121",3,19121,(215) 253-6085,2100,1,Fifth Realty  (215) 253-6085,todor.dev000@gmail.com,53 days ago
"3031 W Master St # 1, Philadelphia, PA, 19121",3,19121,(267) 884-5045,2100,1,1995  (267) 884-5045,todor.dev000@gmail.com,51 days ago
"3019-3035 W Master St # 3BR, Philadelphia, PA, 19121",3,19121,(215) 495-0070,2100,1,The Philly Apartment Company  (215) 495-0070,todor.dev000@gmail.com,9 days ago
"1832 W Montgomery Ave # 1, Philadelphia, PA, 19121",3,19121,(215) 765-1429,2055,1,MK Management Group  (215) 765-1429,todor.dev000@gmail.com,20 days ago
"2024 N Gratz St, Philadelphia, PA, 19121",3,19121,(610) 316-9144,2025,1,Temple Roosts  (610) 316-9144,todor.dev000@gmail.com,118 days ago
"1724 N Willington St # 1, Philadelphia, PA, 19121",3,19121,(215) 680-4210,2025,1,City Wide Realty  (215) 680-4210,todor.dev000@gmail.com,112 days ago
"1223 N 25th St # C, Philadelphia, PA, 19121",2,19121,(267) 476-0776,2000,1,Homeline Real Estate Inc  (267) 476-0776,todor.dev000@gmail.com,36 days ago
"1521 W Seybert St # U, Philadelphia, PA, 19121",3,19121,(215) 765-1429,2010,1,MK Management Group  (215) 765-1429,todor.dev000@gmail.com,155 days ago
"2712 W Jefferson St, Philadelphia, PA, 19121",3,19121,(215) 908-4112,2000,1,Keller Williams Philly  (215) 908-4112,todor.dev000@gmail.com,57 days ago
"1247 N 28th St # 2, Philadelphia, PA, 19121",2,19121,(267) 797-2175,1950,1,JBMP Group  (267) 797-2175,todor.dev000@gmail.com,7 days ago
"1306 N 22nd St, Philadelphia, PA, 19121",3,19121,(215) 227-3333,1950,1,Keller Williams Center City  (215) 227-3333,todor.dev000@gmail.com,23 days ago
"1540 W Thompson St, Philadelphia, PA, 19121",3,19121,(610) 316-9144,1950,1,Temple Roosts  (610) 316-9144,todor.dev000@gmail.com,116 days ago
"1744 N 16th St, Philadelphia, PA, 19121",3,19121,(215) 917-4549,1950,1,WEST NORRIS LLC  (215) 917-4549,todor.dev000@gmail.com,104 days ago
"1619 W Diamond St # 2, Philadelphia, PA, 19121",3,19121,(267) 797-2175,1950,1,JBMP Group  (267) 797-2175,todor.dev000@gmail.com,28 days ago
"1613 Fontain St, Philadelphia, PA, 19121",3,19121,,1950,1,,todor.dev000@gmail.com,115 days ago
"1705 N 16th St # 3, Philadelphia, PA, 19121",3,19121,(267) 481-6668,1950,1,(267) 481-6668,todor.dev000@gmail.com,41 days ago
"1716 N 18th St # 3, Philadelphia, PA, 19121",3,19121,(609) 315-4894,1900,1,Coldwell Banker Preferred  (609) 315-4894,todor.dev000@gmail.com,110 days ago
"1250 N 25th St APT A, Philadelphia, PA, 19121",2,19121,(267) 476-0776,1900,1,Homeline Real Estate Inc  (267) 476-0776,todor.dev000@gmail.com,34 days ago
"1218 N 30th St, PHILADELPHIA, PA, 19121",2,19121,(215) 607-6007,1895,1,Keller Williams Philly  (215) 607-6007,todor.dev000@gmail.com,69 days ago
"1701 N 16th St # 1, Philadelphia, PA, 19121",3,19121,(267) 481-6668,1875,1,(267) 481-6668,todor.dev000@gmail.com,41 days ago
"1708 Fontain St # 1, Philadelphia, PA, 19121",3,19121,(215) 765-1429,2085,1,MK Management Group  (215) 765-1429,todor.dev000@gmail.com,29 days ago
"2029 N 15th St # 2, Philadelphia, PA, 19121",3,19121,(646) 266-9171,2100,1,(646) 266-9171,todor.dev000@gmail.com,38 days ago
"1820 W Berks St APT 1, Philadelphia, PA, 19121",4,19121,(267) 797-2175,2200,1,JBMP Group  (267) 797-2175,todor.dev000@gmail.com,25 days ago
"1456 N Corlies St, Philadelphia, PA, 19121",3,19121,(215) 467-4100,2195,1,JG Real Estate  (215) 467-4100,todor.dev000@gmail.com,128 days ago
"1608 N Sydenham St # 1, Philadelphia, PA, 19121",3,19121,(267) 481-6668,1875,1,(267) 481-6668,todor.dev000@gmail.com,41 days ago
"1741 N 16th St # 3, Philadelphia, PA, 19121",3,19121,(267) 481-6668,1875,1,(267) 481-6668,todor.dev000@gmail.com,18 days ago
"2030 N 17th St # 2, Philadelphia, PA, 19121",3,19121,(215) 460-3732,1860,1,The Green P   (215) 460-3732,todor.dev000@gmail.com,64 days ago
"3033 N Master St # B, Philadelphia, PA, 19121",2,19121,(215) 559-1389,1825,1,Keller Williams Philly  (215) 559-1389,todor.dev000@gmail.com,201 days ago
"1526 Fontain St # 1, Philadelphia, PA, 19121",3,19121,(215) 765-1429,1830,1,MK Management Group  (215) 765-1429,todor.dev000@gmail.com,14 days ago
"1335 N 29th St, Philadelphia, PA, 19121",3,19121,,1850,1,,todor.dev000@gmail.com,20 days ago
"1321 N 29th St, Philadelphia, PA, 19121",3,19121,(267) 238-3511,1850,1,Holly Mack-Ward & Co.  (267) 238-3511,todor.dev000@gmail.com,37 days ago
"3025 W Master St, Philadelphia, PA, 19121",2,19121,(215) 495-0070,1825,1,The Philly Apartment Company  (215) 495-0070,todor.dev000@gmail.com,9 days ago
"1265 N Newkirk St # F, Philadelphia, PA, 19121",2,19121,(215) 391-3697,1800,1,Homeline Real Estate Inc  (215) 391-3697,todor.dev000@gmail.com,44 days ago
"1220 N 28th St APT C, Philadelphia, PA, 19121",2,19121,(215) 478-7218,1800,1,Advance Philly - Keller Williams - Center City   (215) 478-7218,todor.dev000@gmail.com,2 days ago
"3027 W Master St # 3C, Philadelphia, PA, 19121",2,19121,(267) 884-5045,1775,1,1995  (267) 884-5045,todor.dev000@gmail.com,93 days ago
"2617 W Girard Avenue 4-d # 7048091, Philadelphia, PA, 19121",2,19121,(267) 244-7215,1700,1,BMG Philadelphia  (267) 244-7215,todor.dev000@gmail.com,33 days ago
"1225-27 N 28th St # C, Philadelphia, PA, 19121",2,19121,(215) 735-7368,1695,1,OCF Realty  (215) 735-7368,todor.dev000@gmail.com,120 days ago
"1225 N 28th St APT C, Philadelphia, PA, 19121",2,19121,(215) 735-7368,1695,1,OCF Realty  (215) 735-7368,todor.dev000@gmail.com,121 days ago
"3035 W Master St # 2BR, Philadelphia, PA, 19121",2,19121,(215) 495-0070,1673,1,The Philly Apartment Company  (215) 495-0070,todor.dev000@gmail.com,69 days ago
"1822 Ingersoll St # A, Philadelphia, PA, 19121",2,19121,(610) 574-2665,1650,1,KW Philly  (610) 574-2665,todor.dev000@gmail.com,132 days ago
"1339 N Myrtlewood St, Philadelphia, PA, 19121",2,19121,(267) 244-7215,1600,1,BMG Philadelphia  (267) 244-7215,todor.dev000@gmail.com,18 days ago
"2220-28 W Master St # 2220-28, Philadelphia, PA, 19121",2,19121,(267) 476-0776,1600,1,Homeline Real Estate Inc  (267) 476-0776,todor.dev000@gmail.com,14 days ago
"1238 N 28th St APT 2A, Philadelphia, PA, 19121",2,19121,(267) 244-7215,1575,1,BMG Philadelphia  (267) 244-7215,todor.dev000@gmail.com,16 days ago
"1215 W Susquehanna Ave, Philadelphia, PA, 19122",8,19122,(267) 279-9777,3500,1,"Ikos Holdings, Inc.  (267) 279-9777",todor.dev000@gmail.com,2 days ago
"1527 N Mascher St, Philadelphia, PA, 19122",3,19122,,2850,1,,todor.dev000@gmail.com,11 days ago
"2112 N Camac St, Philadelphia, PA, 19122",6,19122,(267) 403-8138,3000,1,BY Real Estate  (267) 403-8138,todor.dev000@gmail.com,16 minutes ago
"1506 N 6th St, Philadelphia, PA, 19122",3,19122,(215) 498-3546,2500,1,LYL Realty Group  (215) 498-3546,todor.dev000@gmail.com,20 days ago
"1752 N Hancock St, Philadelphia, PA, 19122",3,19122,(267) 797-2175,2500,1,JBMP Group  (267) 797-2175,todor.dev000@gmail.com,28 days ago
"1506 N 6th St # 2, Philadelphia, PA, 19122",3,19122,(267) 235-9268,2500,1,(267) 235-9268,todor.dev000@gmail.com,4 days ago
"1324 N Hancock St, Philadelphia, PA, 19122",3,19122,(267) 249-5865,2500,1,RE/Max Access  (267) 249-5865,todor.dev000@gmail.com,1 hour ago
"422 W Master St, Philadelphia, PA, 19122",3,19122,(212) 203-2016,2450,1,Luminous Realty  (212) 203-2016,todor.dev000@gmail.com,18 days ago
"1651 N Randolph St, Philadelphia, PA, 19122",3,19122,(610) 564-8444,2450,1,HomeSmart Realty  (610) 564-8444,todor.dev000@gmail.com,19 days ago
"2113 N Marvine St, Philadelphia, PA, 19122",4,19122,(215) 779-8196,2400,1,(215) 779-8196,todor.dev000@gmail.com,144 days ago
"1920 N Darien St, Philadelphia, PA, 19122",4,19122,(215) 783-2706,2250,1,The Real Estate LLC  (215) 783-2706,todor.dev000@gmail.com,84 days ago
"333 W Thompson St, Philadelphia, PA, 19122",2,19122,(215) 235-5015,2300,1,Allegiance Real Estate LLC  (215) 235-5015,todor.dev000@gmail.com,1 day ago
"1236 N 4th St, Philadelphia, PA, 19122",3,19122,(215) 467-4100,2350,1,JG Real Estate  (215) 467-4100,todor.dev000@gmail.com,17 minutes ago
"1420 N 7th St, Philadelphia, PA, 19122",2,19122,(267) 689-8262,2200,1,(267) 689-8262,todor.dev000@gmail.com,142 days ago
"1326 N 5th St, Philadelphia, PA, 19122",2,19122,(267) 679-6654,2200,1,Coldwell Banker Preferred  (267) 679-6654,todor.dev000@gmail.com,11 days ago
"N 7th St, Philadelphia, PA, 19122",2,19122,(215) 449-8301,2100,1,Lease Philadelphia215  (215) 449-8301,todor.dev000@gmail.com,32 days ago
"641 W Oxford St # 1, Philadelphia, PA, 19122",2,19122,(215) 449-8301,2100,1,Lease Philadelphia215  (215) 449-8301,todor.dev000@gmail.com,25 days ago
"1921 N 7th St # 1, Philadelphia, PA, 19122",4,19122,(267) 797-2175,2200,1,JBMP Group  (267) 797-2175,todor.dev000@gmail.com,72 days ago
"1925 N 7th St # 1, Philadelphia, PA, 19122",4,19122,(267) 797-2175,2200,1,JBMP Group  (267) 797-2175,todor.dev000@gmail.com,72 days ago
"2031 N Hope St, Philadelphia, PA, 19122",3,19122,(610) 636-4364,2200,1,CenterCityTeam at Berkshire Hathaway Fox & Roach  (610) 636-4364,todor.dev000@gmail.com,70 days ago
"645 W Oxford St, Philadelphia, PA, 19122",2,19122,(215) 519-1639,1995,1,(215) 519-1639,todor.dev000@gmail.com,23 days ago
