Number_of_Active_Listing,Rent,ContactInfo,Number_of_Bedrooms,Address
1,3600,DF Management Philadelphia LLC.  (215) 756-6651,3,"2415 Naudain St, Philadelphia, PA, 19146"
1,3400,Pine Realty  (215) 432-8049,4,"1706 Naudain St, Philadelphia, PA, 19146"
1,3300,Richard Mandel  (215) 643-0446,3,"2449 Grays Ferry Ave # 1, Philadelphia, PA, 19146"
1,3500,Long and Foster  (920) 737-3658,4,"2108 Cross St, Philadelphia, PA, 19146"
1,3300,KW Philly South  (215) 392-0230,3,"2103 Christian St APT C, Philadelphia, PA, 19146"
1,3300,"Ikos Holdings, Inc.  (267) 279-9777",3,"2449 Grays Ferry Ave, Philadelphia, PA, 19146"
1,3095,The Philly Apartment Company  (215) 495-0070,2,"600 S 24th St UNIT 410, Philadelphia, PA, 19146"
1,3000,KELLER WILLIAMS REAL ESTATE  (267) 625-7568,3,"762 S 15th St # A, Philadelphia, PA, 19146"
1,2995,Center City-Society Hill  (215) 627-6005,1,"400-26 S Broad St # 803, Philadelphia, PA, 19146"
1,3000,The Green P   (215) 460-3732,3,"529 S 16th St # 2, Philadelphia, PA, 19146"
1,2995,OCF Realty  (215) 735-7368,3,"2134 Webster St, Philadelphia, PA, 19146"
1,2995,,2,"South St, Philadelphia, PA, 19146"
1,2900,(215) 735-9729,4,"1520 Bainbridge St # A, Philadelphia, PA, 19146"
1,2950,(215) 635-1121,3,"1015 S 18th St, Philadelphia, PA, 19146"
1,1250,"Volpe Real Estate, Inc.  (215) 545-5414",1,"2636 Poplar St # 1, Philadelphia, PA, 19130"
1,2900,Pine Realty  (215) 432-8049,4,"1524 Naudain St, Philadelphia, PA, 19146"
1,2850,OCF Realty  (215) 735-7368,3,"1013 S 20th St # 1, Philadelphia, PA, 19146"
1,2850,OCF Realty  (215) 735-7368,4,"2623 Webster St, Philadelphia, PA, 19146"
1,2800,www.turbotenant.com  (267) 210-3158,2,"1834 Christian St, Philadelphia, PA, 19146"
1,2800,Space and company  (570) 614-8807,2,"711 S 18th St # B, Philadelphia, PA, 19146"
1,2800,(571) 212-1629,3,"1537 Dickinson St, Philadelphia, PA, 19146"
1,2800,Onyx Management Group  (215) 354-0404,3,"2000 Kimball St, Philadelphia, PA, 19146"
1,2800,,2,"Christian St, PHILADELPHIA, PA, 19146"
1,2700,Keller Williams Philly  (215) 709-4141,3,"1723 Federal St, Philadelphia, PA, 19146"
1,2700,JG Real Estate  (215) 467-4100,3,"2040 Reed St, Philadelphia, PA, 19146"
1,2700,Pine Realty  (215) 432-8049,3,"1608 Naudain St, Philadelphia, PA, 19146"
1,2695,Skyline Property Management  (215) 800-1762,3,"2319 Saint Albans St, Philadelphia, PA, 19146"
1,2695,OCF Realty  (215) 735-7368,3,"2147 Ellsworth St, Philadelphia, PA, 19146"
1,2649,(610) 613-9227,4,"1933 Federal St, Philadelphia, PA, 19146"
1,2650,(267) 474-3917,3,"409 S 22nd St APT 3, Philadelphia, PA, 19146"
1,2650,(609) 602-4075,3,"2517 Carpenter St, Philadelphia, PA, 19146"
1,2600,Keller Williams Philly  (215) 709-4141,3,"425 S 16th St, Philadelphia, PA, 19146"
1,2850,,3,"Naudain St, Philadelphia, PA, 19146"
1,2600,(425) 381-7906,3,"1338 S Chadwick St, Philadelphia, PA, 19146"
1,2500,(215) 485-0091,2,"2523 Webster St, Philadelphia, PA, 19146"
1,2600,Mercury Real Estate Group  (215) 462-5100,1,"2503 Federal St, Philadelphia, PA, 19146"
1,2550,Kurfiss Sotheby's International Realty  (856) 366-0224,3,"2528 Carpenter St, Philadelphia, PA, 19146"
1,2600,(267) 250-1430,3,"1428 S 21st St, Philadelphia, PA, 19146"
1,3100,,3,"2407 Naudain St, Philadelphia, PA, 19146"
1,2500,"Quad Philly, Inc  (215) 735-9729",3,"919 S 23rd St # A, Philadelphia, PA, 19146"
1,2500,(215) 410-6383,3,"1506 S 20th St, Philadelphia, PA, 19146"
1,2500,,2,"2331 Christian St, Philadelphia, PA, 19146"
1,2500,Berkshire Hathaway Fox & Roach  (215) 778-2452,3,"1117 S 20th St # A, Philadelphia, PA, 19146"
1,2500,OCF Realty  (215) 735-7368,3,"2222 Saint Albans St, Philadelphia, PA, 19146"
1,2485,Berkshire Hathaway Home Services Fox and Roach Realtors   (215) 500-9498,3,"1606 Rodman St, Philadelphia, PA, 19146"
1,2450,Reid Rosenthal & The Rosenthal Group  (215) 546-0550,3,"2239 Latona St, Philadelphia, PA, 19146"
1,2400,OCF Realty  (215) 735-7368,3,"1533 S Dorrance St, Philadelphia, PA, 19146"
1,2400,Double Diamond Reality  (215) 740-0200,4,"624 S 16th St # 2ND, Philadelphia, PA, 19146"
1,2400,JG Real Estate  (215) 467-4100,2,"530 S 15th St # 3, Philadelphia, PA, 19146"
1,2390,(215) 500-9498,4,"1945 Gerritt St, Philadelphia, PA, 19146"
1,2400,Onyx Management Group  (215) 354-0404,3,"1021 S 20th St # B, Philadelphia, PA, 19146"
1,2375,(267) 474-8488,2,"1825 Fitzwater St FL 1ST, Philadelphia, PA, 19146"
1,2350,JBMP Group  (267) 797-2175,3,"2605 Federal St # A, Philadelphia, PA, 19146"
1,2350,Berkshire Hathaway Home Serve - Fox & Roach  (610) 637-2605,3,"911 S 25th St, Philadelphia, PA, 19146"
1,2349,"Best City Homes, Inc  (215) 545-1144",3,"910 S 20th St # B, Philadelphia, PA, 19146"
1,2325,(215) 336-8920,2,"1221 S Broad St # 606, Philadelphia, PA, 19146"
1,2325,Keller Williams Realty  (215) 805-9451,1,"700 Commodore Ct UNIT 2719, Philadelphia, PA, 19146"
1,2300,(484) 951-5977,3,"1925 Ellsworth St, Philadelphia, PA, 19146"
1,2300,LPMG Management Co.  (484) 470-6420,2,"2517 Webster St # 517, Philadelphia, PA, 19146"
1,2300,Keller Williams Philly  (215) 709-4141,3,"2324 Wilder St, Philadelphia, PA, 19146"
1,2250,"Volpe Real Estate, Inc.  (215) 545-5414",2,"2244 Pemberton St, Philadelphia, PA, 19146"
1,2250,Allan Domb Real Estate  (215) 545-1500,1,"400-26 S Broad St # 1204, Philadelphia, PA, 19146"
1,2250,"Summit Real Estate, Inc  (215) 755-1100",3,"2318 Grays Ferry Ave, Philadelphia, PA, 19146"
1,2200,Integrity  (215) 874-7067,2,"2323 Montrose St, Philadelphia, PA, 19146"
1,2200,"Duffy Real Estate, Inc.  (484) 571-2317",2,"2126 Tryon St, Philadelphia, PA, 19146"
1,2250,Keller Williams Philly  (215) 709-4141,3,"920 S 24th St, Philadelphia, PA, 19146"
1,2900,BMG Philadelphia  (267) 244-7215,3,"725 S 17th St # B, Philadelphia, PA, 19146"
1,2250,"YouList Realty, Inc  (215) 447-8725",3,"1526 S Colorado St, Philadelphia, PA, 19146"
1,2400,"Slate Property Management Group, LLC  (484) 588-9699",3,"1437 S Colorado St, Philadelphia, PA, 19146"
1,2500,(215) 450-5572,2,"1025 S 18th St APT C, Philadelphia, PA, 19146"
1,2200,BHHS Fox & Roach Realtors  (267) 251-3975,2,"1629 Addison St, Philadelphia, PA, 19146"
1,2150,(215) 900-8669,3,"1822 Wharton St, Philadelphia, PA, 19146"
1,2150,,3,"1330 S 24th St, Philadelphia, PA, 19146"
1,2200,,2,"1035 S Dorrance St, Philadelphia, PA, 19146"
1,2100,The Philly Apartment Company  (215) 495-0070,3,"1604 Catharine St, Philadelphia, PA, 19146"
1,2095,Prosperity Real Estate & Inves  (866) 327-7673,3,"2102 Ellsworth St, Philadelphia, PA, 19146"
1,2095,"Volpe Real Estate, Inc.  (215) 545-5414",2,"2223 Grays Ferry Ave # C, Philadelphia, PA, 19146"
1,2100,City Living Philly  (215) 704-4753,1,"2201 South St # 3R, Philadelphia, PA, 19146"
1,2060,(484) 643-0347,1,"520 S Broad St, Philadelphia, PA, 19146"
1,2000,Spring Hill Services  (267) 567-4963,2,"917 S 18th St # A, Philadelphia, PA, 19146"
1,2000,Carmine Rauso  (610) 436-6500,2,"1803 Carpenter St # 1, Philadelphia, PA, 19146"
1,1999,(215) 370-0861,3,"2239 Catharine St, Philadelphia, PA, 19146"
1,1950,Philly Living Team   (215) 607-6007,1,"1707 Bainbridge St # 2, Philadelphia, PA, 19146"
1,1950,Keller Williams Philly  (717) 372-3658,1,"1908 Rodman St # B, Philadelphia, PA, 19146"
1,1950,JBMP Group  (267) 797-2175,2,"2537 Montrose St # D, Philadelphia, PA, 19146"
1,1950,Philly Living Team   (215) 607-6007,1,"1709 Bainbridge St # 2, Philadelphia, PA, 19146"
1,1950,Berkshire Hathaway HomeServices Fox  (215) 868-3363,2,"1637 Rodman St, Philadelphia, PA, 19146"
1,1900,Compass Real Estate  (215) 888-4898,2,"1227 S 29th St # C, Philadelphia, PA, 19146"
1,1900,Papale Team Selling on both sides of the river  (609) 760-0776,2,"1825 Christian St, Philadelphia, PA, 19146"
1,2000,Arrive Philly - Center City  (646) 784-0277,3,"1728 Dickinson St, Philadelphia, PA, 19146"
1,1900,Damon Michels Team Office-Berkshire Hathaway HomeServices  (610) 731-9300,2,"1814 Christian St # 3, Philadelphia, PA, 19146"
1,1895,OCF Realty  (215) 735-7368,3,"1737 South St # 3, Philadelphia, PA, 19146"
1,1895,(215) 333-2233,2,"2016 Saint Albans St, Philadelphia, PA, 19146"
1,1950,The Philly Apartment Company  (215) 495-0070,3,"2135 Bainbridge St, Philadelphia, PA, 19146"
1,1875,(215) 925-8683,3,"2506 Christian St, Philadelphia, PA, 19146"
1,1895,OCF Realty  (215) 735-7368,1,"2241 Fitzwater St # 1, Philadelphia, PA, 19146"
1,1950,JBMP Group  (267) 797-2175,2,"2537-39 Montrose St # D, Philadelphia, PA, 19146"
1,2550,Independent Custom Realty Property Management  (717) 468-3810,2,"418 S 21st St, Philadelphia, PA, 19146"
1,1850,OCF Realty  (215) 735-7368,2,"1739 Annin St, Philadelphia, PA, 19146"
1,1850,Keller Williams Philly  (215) 360-3236,2,"2332 38 Carpenter St # 1A, Philadelphia, PA, 19146"
1,1850,Compass RE  (215) 828-6558,3,"1250 S Bucknell St, Philadelphia, PA, 19146"
1,1850,(215) 740-0200,2,"756 S Cleveland St, Philadelphia, PA, 19146"
1,1850,Double Diamond Reality  (215) 740-0200,2,"752 S Cleveland St, Philadelphia, PA, 19146"
1,1810,,2,"2235 Titan St, Philadelphia, PA, 19146"
1,1840,(215) 500-9498,3,"1839 Dickinson St, Philadelphia, PA, 19146"
1,1800,Double Diamond Reality  (215) 740-0200,2,"766 S Cleveland St, Philadelphia, PA, 19146"
1,1795,Del Val Realty & Property Management  (215) 398-4133,2,"622 S 19th St # 1, Philadelphia, PA, 19146"
1,1795,Del Val RE Property & Mngmnt  (484) 381-0603,2,"622 S 19th St, Philadelphia, PA, 19146"
1,1800,"Jesse Barnes, Realtor  (510) 205-5371",2,"1241 S 18th St # 1, Philadelphia, PA, 19146"
1,1795,,1,"2213 South St # 1, Philadelphia, PA, 19146"
1,1775,,2,"627 S 19th St # 2, Philadelphia, PA, 19146"
1,1750,"New Age Realty Group, Inc.  (215) 387-1002",2,"1509 Christian St # 3, Philadelphia, PA, 19146"
1,1750,Springer Realty Group  (215) 715-9455,2,"1904 Christian St, Philadelphia, PA, 19146"
1,1750,OCF Realty  (215) 735-7368,2,"1242 S 17th St APT 3, Philadelphia, PA, 19146"
1,1750,20/20 Real Estate  (215) 357-2020,2,"2342 Gerritt St, Philadelphia, PA, 19146"
1,1750,City Living Philly  (215) 704-4753,2,"2004 Lombard St APT 2F, Philadelphia, PA, 19146"
1,1750,Double Diamond Reality  (215) 365-4567,2,"724 S Smedley St, Philadelphia, PA, 19146"
1,1700,(215) 805-1024,2,"1514 S 17th St, Philadelphia, PA, 19146"
1,1750,OCF Realty  (215) 735-7368,2,"619 S 19th St # 2, Philadelphia, PA, 19146"
1,1700,(215) 501-3817,2,"1512 S 17th St, Philadelphia, PA, 19146"
1,1700,Long&Foster  (215) 409-6900,2,"1724 Titan St, Philadelphia, PA, 19146"
1,1700,The Philly Apartment Company  (215) 495-0070,2,"2728 Wharton St, Philadelphia, PA, 19146"
1,1700,Spring Hill Services  (267) 567-4963,2,"764 S 23rd St # 2, Philadelphia, PA, 19146"
1,1690,REMAX Home Experts  (215) 327-3156,2,"1234 S Broad St FL 3RD, Philadelphia, PA, 19146"
1,2150,JG Real Estate  (215) 467-4100,3,"1022 S 25th St, Philadelphia, PA, 19146"
1,1700,(215) 519-0895,1,"415 S Van Pelt St APT B5, Philadelphia, PA, 19146"
1,1850,"Compass Pennsylvania, LLC  (215) 887-0400",1,"1820 South St # B, Philadelphia, PA, 19146"
1,1875,BMG Philadelphia  (267) 244-7215,3,"1423 Ellsworth St, Philadelphia, PA, 19146"
1,1650,(267) 709-0598,2,"1520 S 17th St, Philadelphia, PA, 19146"
1,1650,(267) 689-8262,2,"1516 S 17th St, Philadelphia, PA, 19146"
1,1650,SMR Property Management  (215) 681-6751,2,"1513 South St # B, Philadelphia, PA, 19146"
1,1650,(305) 799-7773,1,"2241 Saint Albans St # 1, Philadelphia, PA, 19146"
1,1625,,2,"2016 Christian St # B, Philadelphia, PA, 19146"
1,1600,OCF Realty  (215) 735-7368,2,"1538 S Opal St, Philadelphia, PA, 19146"
1,1600,(570) 204-6275,2,"1613 Ellsworth St # 1, Philadelphia, PA, 19146"
1,1600,Pine Realty  (215) 432-8049,2,"1640 Lombard St APT 3F, Philadelphia, PA, 19146"
1,1600,BHHS Fox & Roach Realtors  (267) 625-4504,1,"1928 Rodman St # C, Philadelphia, PA, 19146"
1,1600,"Ikos Holdings, Inc.  (267) 279-9777",2,"731 S 21st St # B, Philadelphia, PA, 19146"
1,1595,Skyline Property Management  (215) 800-1762,2,"2521 Kimball St, Philadelphia, PA, 19146"
1,1595,"Volpe Real Estate, Inc.  (215) 545-5414",1,"2231 Saint Albans St # 1, Philadelphia, PA, 19146"
1,1595,Abbolone & Scullin Realty-Philadelphia  (215) 546-2030,1,"2207 Catharine St # 2, Philadelphia, PA, 19146"
1,4200,zada holdings  (610) 716-6241,8,"S 48th St, Philadelphia, PA, 19143"
1,4500,BHHS Fox & Roach-CC 1818 Ritte  (215) 893-9800,6,"920 S 48th St, Philadelphia, PA, 19143"
1,3600,Independent Custom Realty Property Management  (717) 468-3810,5,"1001 S 46th St # 1F, Philadelphia, PA, 19143"
1,1600,(215) 485-0091,2,"722 S 21st Street # First Floor, Philadelphia, PA, 19146"
1,2800,(484) 904-1111,4,"1243 S 47th St # 1, Philadelphia, PA, 19143"
1,2700,,5,"5116 Hazel Ave, Philadelphia, PA, 19143"
1,2500,The Philly Apartment Company  (215) 495-0070,4,"5301 Catharine St, Philadelphia, PA, 19143"
1,2650,(215) 386-4200,4,"4511 Kingsessing Ave, Philadelphia, PA, 19143"
1,2200,(614) 632-1375,3,"544 S 48th St, Philadelphia, PA, 19143"
1,2200,(267) 872-5154,3,"4614-3F Baltimore Ave # 3F, Philadelphia, PA, 19143"
1,2400,New Age Realty Group  (215) 387-1002,4,"727 S 50th St # A, Philadelphia, PA, 19143"
1,1900,Core Property Management  (914) 474-4642,3,"4617 Cedar Ave # 3, Philadelphia, PA, 19143"
1,1895,"New Age Realty Group, Inc.  (215) 387-1002",3,"4608 Baltimore Ave # 3, Philadelphia, PA, 19143"
1,1875,MMAG Properties  (267) 337-7433,3,"5121 Catharine St # HOUSE, Philadelphia, PA, 19143"
1,1900,Powelton Properties  (215) 386-2578,3,"4600 Chester Ave APT 5F, Philadelphia, PA, 19143"
1,1800,BHHS Fox & Roach-Center City W  (609) 774-7388,2,"4809 Baltimore Ave APT 1, Philadelphia, PA, 19143"
1,1595,OCF Realty  (215) 735-7368,2,"1826 Webster St, Philadelphia, PA, 19146"
1,1575,(267) 474-8488,1,"1820 Fitzwater St FL 2ND, Philadelphia, PA, 19146"
1,1700,(215) 680-4210,2,"4730 Warrington Ave FL 1, Philadelphia, PA, 19143"
1,1550,Keller Williams Philly   (201) 230-9519,2,"1439 S 20th St # C, Philadelphia, PA, 19146"
1,1550,(215) 925-8683,2,"1610 Kater St, Philadelphia, PA, 19146"
1,1550,JBMP Group  (267) 797-2175,2,"2254 Greenwich St, Philadelphia, PA, 19146"
1,1500,(215) 913-3044,1,"745 S 16th St APT 3, Philadelphia, PA, 19146"
1,1580,(267) 231-7346,1,"1440 Lombard St APT 1R, Philadelphia, PA, 19146"
1,1450,(305) 799-7773,1,"623 S 16th St APT 1, Philadelphia, PA, 19146"
1,1450,(267) 934-4040,1,"2046 Fitzwater St # A, Philadelphia, PA, 19146"
1,1445,(267) 689-8262,1,"1526 S 17th St, Philadelphia, PA, 19146"
1,1445,(215) 501-3817,1,"1502 S 17th St, Philadelphia, PA, 19146"
1,1400,Abbolone & Scullin Realty-Philadelphia  (215) 546-2030,1,"620 S 19th St # 3, Philadelphia, PA, 19146"
1,1400,"Walter M. Wood Jr., Inc.  (215) 386-2800",1,"2300 Catharine St # 2RR, Philadelphia, PA, 19146"
1,1415,(610) 476-7507,1,"419 S 19th St, Philadelphia, PA, 19146"
1,1400,Real Estate with Heart  (503) 679-4097,1,"909 S 20th St # 2, Philadelphia, PA, 19146"
1,1395,"Volpe Real Estate, Inc.  (215) 545-5414",1,"2213 St Albans St # 1, Philadelphia, PA, 19146"
1,1395,(215) 327-1552,1,"1839 Pemberton St # HOUSE, Philadelphia, PA, 19146"
1,1395,Maxwell Realty  (215) 620-0099,1,"715 S 19th St # 1839, Philadelphia, PA, 19146"
1,3300,(267) 323-5228,7,"1640 S Broad St, Philadelphia, PA, 19145"
1,3200,(215) 510-6084,3,"1934 Forrestal St, Philadelphia, PA, 19145"
1,2300,SPACE & COMPANY  (610) 762-3183,3,"1521 Tasker St # 2, Philadelphia, PA, 19145"
1,3000,,4,"1631 S 22nd St, Philadelphia, PA, 19145"
1,2300,(267) 838-1778,3,"3014 S 15th St, Philadelphia, PA, 19145"
1,1400,The Philly Apartment Company  (215) 495-0070,1,"712 S 16th St, Philadelphia, PA, 19146"
1,2400,(570) 780-0016,3,"1934 Fernon St, Philadelphia, PA, 19145"
1,2199,REMAX Home Experts  (215) 327-3156,3,"1538 Mckean St, Philadelphia, PA, 19145"
1,2050,,3,"S Bouvier St, PHILADELPHIA, PA, 19145"
1,1975,"Weichert Realtors, The Asbury Group  (215) 275-0482",2,"1929 S 17th St, Philadelphia, PA, 19145"
1,1950,Mercury Real Estate Group  (215) 292-3519,3,"W Ritner St, PHILADELPHIA, PA, 19145"
1,1700,Powelton Properties  (215) 386-2578,2,"4731 Warrington Ave # 1FRONT, Philadelphia, PA, 19143"
1,1700,Powelton Properties  (215) 386-2578,2,"Warrington Ave, Philadelphia, PA, 19143"
1,1600,(646) 737-3117,2,"828 S 48th St, Philadelphia, PA, 19143"
1,1600,(267) 324-6829,2,"644 S 51st St # 1, Philadelphia, PA, 19143"
1,1550,,1,"4706 Cedar Ave # 2, Philadelphia, PA, 19143"
1,1550,KW Philly South  (215) 668-4989,1,"1011 S 49th St # 1, Philadelphia, PA, 19143"
1,1450,Independent Custom Realty Property Management  (717) 468-3810,1,"4712 Springfield Ave # 2, Philadelphia, PA, 19143"
1,2100,The Philly Apartment Company  (215) 495-0070,3,"2853 S Sydenham St # 3BDR, Philadelphia, PA, 19145"
1,1395,Springer Realty Group  (215) 715-9455,1,"5025 Warrington Ave, Philadelphia, PA, 19143"
1,1350,Property Management Group DBA PMG Realty  (215) 545-7007,1,"1002 S Farragut St # 3, Phila, PA, 19143"
1,1350,Abbolone & Scullin Realty-Philadelphia  (215) 546-2030,1,"758 S 15th St, Philadelphia, PA, 19146"
1,1395,NG Property Group  (267) 536-5342,1,"1527 Christian St, Philadelphia, PA, 19146"
1,1350,(267) 258-5777,1,"2108 Ellsworth St # 3, Philadelphia, PA, 19146"
1,1300,,1,"724 S 16th St # 1, Philadelphia, PA, 19146"
1,1300,Coldwell Banker Preferred  (215) 495-2348,1,"1331 S Woodstock St, Philadelphia, PA, 19146"
1,1300,,1,"1818 S Street # Second Floor, Philadelphia, PA, 19146"
1,1350,Abbolone & Scullin Realty-Philadelphia  (215) 546-2030,1,"758 S 15th St APT 1, Philadelphia, PA, 19146"
1,1300,Compass RE  (610) 246-7905,1,"701 S Mole St # 1, Philadelphia, PA, 19146"
1,1295,(215) 501-3817,1,"1510 S 17th St # 110, Philadelphia, PA, 19146"
1,1295,"Volpe Real Estate, Inc.  (215) 545-5414",1,"2217 Saint Albans St # 2F, Philadelphia, PA, 19146"
1,1295,"Independent Custom Realty, LLP  (215) 771-4375",1,"746 S 19th St, Philadelphia, PA, 19146"
1,1275,(267) 307-4197,1,"2300 Lombard St APT 2M, Philadelphia, PA, 19146"
1,1295,BHHS FOX & ROACH  (267) 593-6184,1,"757 S Martin St # 2, Philadelphia, PA, 19146"
1,1295,Settle Down Philadelphia  (215) 253-3439,1,"753 S 22nd St FL 3RD, Philadelphia, PA, 19146"
1,1250,(267) 689-8262,1,"1522 S 17th St, Philadelphia, PA, 19146"
1,1250,(215) 519-1639,1,"1502 S 17th St # 1, Philadelphia, PA, 19146"
1,1250,,1,"1622 Bainbridge St APT 2F, Philadelphia, PA, 19146"
1,1250,"Volpe Real Estate, Inc.  (215) 545-5414",1,"2132 Fitzwater St # 1, Philadelphia, PA, 19146"
1,1250,(267) 689-8262,1,"1530 S 17th St, Philadelphia, PA, 19146"
1,1220,,1,"425 S Carlisle St APT 3B, Philadelphia, PA, 19146"
1,1950,,3,"S Napa St, Philadelphia, PA, 19145"
1,1950,Coldwell Banker Preferred  (609) 315-4894,2,"1800 S 16th St # B, Philadelphia, PA, 19145"
1,1850,(267) 335-6394,1,"1727 Mckean St, PHILADELPHIA, PA, 19145"
1,1650,(248) 525-8400,2,"2030 Watkins St, Philadelphia, PA, 19145"
1,1600,(215) 465-4225,2,"1536 W Passyunk Ave FL 3RD, Philadelphia, PA, 19145"
1,1600,(908) 410-5085,2,"1940 S 16th St # 1, Philadelphia, PA, 19145"
1,1600,(215) 465-4225,2,"1435 W Passyunk Ave FL 3RD, Philadelphia, PA, 19145"
1,1300,(215) 900-3110,1,"1801 Daly St, Philadelphia, PA, 19145"
1,1300,(215) 796-7138,1,"5019 Florence Ave FL 1ST, Philadelphia, PA, 19143"
1,1300,,1,"4817 Walton Avenue # First Floor, Philadelphia, PA, 19143"
1,1275,(484) 686-0880,1,"815 S 49th St # 2F, Philadelphia, PA, 19143"
1,1225,Compass / The Barach Group  (215) 609-6529,1,"2138 S 15th St # 2, Philadelphia, PA, 19145"
1,2480,(646) 287-1707,4,"1638 S 8th St, Philadelphia, PA, 19148"
1,2500,(609) 351-9050,3,"1714 S 11th St, Philadelphia, PA, 19148"
1,1900,(267) 838-1778,3,"2341 S Warnock St, Philadelphia, PA, 19148"
1,1950,(215) 266-4581,3,"1945 S 11th St, Philadelphia, PA, 19148"
1,1800,RE/MAX Connection  (609) 221-1199,2,"1225 Mercy St, Philadelphia, PA, 19148"
1,1800,(814) 331-6519,2,"2015-35 S Hutchinson St # 5, Philadelphia, PA, 19148"
1,1800,A. Criniti Realty  (267) 259-3357,2,"2830 S Hutchinson St, Philadelphia, PA, 19148"
1,1995,(215) 397-6778,3,"1946 S 10th St, Philadelphia, PA, 19148"
1,2100,Keller Williams Philly  (267) 968-8600,3,"631 Dudley St, Philadelphia, PA, 19148"
1,1900,Coldwell Banker Preferred - Old City Office  (215) 923-7600,3,"2106 S 12th St, Philadelphia, PA, 19148"
1,1650,,2,"521 Watkins St, Philadelphia, PA, 19148"
1,2095,DJCRE  (215) 271-7070,3,"2508 S 12th St, Philadelphia, PA, 19148"
1,2250,(215) 237-8408,3,"2015 S Hutchinson St UNIT 2, Philadelphia, PA, 19148"
1,1650,Coldwell Banker Preferred  (484) 319-1993,2,"236 Mcclellan St, Philadelphia, PA, 19148"
1,1650,The Philly Apartment Company  (215) 495-0070,2,"1114 Mifflin St # 3, Philadelphia, PA, 19148"
1,1575,(215) 992-4842,2,"1904 S 10th St # 1, Philadelphia, PA, 19148"
1,1575,(215) 992-4842,2,"1904 S 10th St # A, Philadelphia, PA, 19148"
1,1575,"DJCRE, Inc.  (215) 271-7070",2,"3101 S Broad St, PHILADELPHIA, PA, 19148"
1,1900,(267) 716-9035,3,"1123 Mckean St, Philadelphia, PA, 19148"
1,1350,Keller Williams Center City  (267) 992-6876,1,"2024 S 12th St # 1, Philadelphia, PA, 19148"
1,1350,Century 21 Forrester RE  (267) 688-1449,1,"1629 S 8th St # 3, Philadelphia, PA, 19148"
1,1250,Compass / Philadelphia Home Collective  (215) 485-2015,1,"910 Emily St # 2R, Philadelphia, PA, 19148"
1,1250,Keller Williams Center City  (215) 227-3333,1,"922 Fernon Street 2nd FL 2, Philadelphia, PA, 19148"
1,5475,Realty Mark Cityscape-King of  (215) 583-7777,5,"128 Pemberton St, Philadelphia, PA, 19147"
1,4600,"BHHS, FOX & ROACH - WALNUT  (215) 850-3842",4,"907 S 2nd St, Philadelphia, PA, 19147"
1,5300,Berkshire Hathaway Fox & Roach Realtors  (610) 996-1907,4,"409 S 3rd St, Philadelphia, PA, 19147"
1,4500,(215) 917-4062,3,"905 S 2nd St # B, Philadelphia, PA, 19147"
1,5500,,4,"S American St, PHILADELPHIA, PA, 19147"
1,4400,Spruce Management Group  (215) 630-6187,5,"723 S 2nd St, Philadelphia, PA, 19147"
1,4150,(917) 745-6287,5,"221 Monroe St, Philadelphia, PA, 19147"
1,4250,"BHHS, FOX & ROACH - WALNUT  (215) 850-3842",2,"781 S 2nd St, Philadelphia, PA, 19147"
1,4000,(609) 230-9227,2,"240 Fulton St, Philadelphia, PA, 19147"
